ticker,start_date,end_date,type
ETR,2000-01-03 00:00:00,2023-12-31 00:00:00,S
ETS,2000-01-03 00:00:00,2001-08-03 00:00:00,S
ETSY,2020-09-21 00:00:00,2023-12-31 00:00:00,S
EVHC,2016-12-02 00:00:00,2018-10-10 00:00:00,S
EVRG,2018-06-05 00:00:00,2023-12-31 00:00:00,S
EW,2011-04-01 00:00:00,2023-12-31 00:00:00,S
EXC,2000-01-03 00:00:00,2023-12-31 00:00:00,S
EXPD,2007-10-10 00:00:00,2023-12-31 00:00:00,S
EXPE,2007-10-02 00:00:00,2023-12-31 00:00:00,S
EXR,2016-01-19 00:00:00,2023-12-31 00:00:00,S
F,2000-01-03 00:00:00,2023-12-31 00:00:00,S
FANG,2018-12-03 00:00:00,2023-12-31 00:00:00,S
FAST,2008-09-15 00:00:00,2023-12-31 00:00:00,S
FB,2013-12-23 00:00:00,2022-06-08 00:00:00,S
FBF,2000-01-03 00:00:00,2004-03-29 00:00:00,S
FBHS,2016-06-24 00:00:00,2022-11-08 00:00:00,S
FCPT,2015-11-10 00:00:00,2015-11-10 00:00:00,S
FCX,2000-01-03 00:00:00,2023-12-31 00:00:00,S
FDC,2000-01-03 00:00:00,2007-09-24 00:00:00,S
FDO,2001-08-06 00:00:00,2015-07-06 00:00:00,S
FDS,2021-12-20 00:00:00,2023-12-31 00:00:00,S
FDX,2000-01-03 00:00:00,2023-12-31 00:00:00,S
FE,2000-01-03 00:00:00,2023-12-31 00:00:00,S
FFIV,2010-12-20 00:00:00,2023-12-31 00:00:00,S
FHN,2002-05-06 00:00:00,2013-06-19 00:00:00,S
FI,2023-06-07 00:00:00,2023-12-31 00:00:00,S
FICO,2023-03-20 00:00:00,2023-12-31 00:00:00,S
FII,2003-04-16 00:00:00,2012-12-28 00:00:00,S
FIS,2006-11-10 00:00:00,2023-12-31 00:00:00,S
FISV,2001-04-02 00:00:00,2023-05-16 00:00:00,S
FITB,2000-01-03 00:00:00,2023-12-31 00:00:00,S
FJ,2000-01-03 00:00:00,2000-11-22 00:00:00,S
FL,2016-04-04 00:00:00,2019-08-08 00:00:00,S
FLIR,2009-01-02 00:00:00,2021-04-20 00:00:00,S
FLR,2000-12-22 00:00:00,2019-06-01 00:00:00,S
FLS,2008-10-02 00:00:00,2021-02-12 00:00:00,S
FLT,2018-06-20 00:00:00,2023-12-31 00:00:00,S
FLTWQ,2000-01-03 00:00:00,2000-01-28 00:00:00,S
FMC,2000-01-03 00:00:00,2023-12-31 00:00:00,S
FMCC,2000-01-03 00:00:00,2008-09-08 00:00:00,S
FNMA,2000-01-03 00:00:00,2008-09-08 00:00:00,S
FOSL,2012-04-04 00:00:00,2016-01-04 00:00:00,S
FOX,2015-09-21 00:00:00,2023-12-31 00:00:00,S
FOXA,2004-12-20 00:00:00,2023-12-31 00:00:00,S
FPC,2000-01-03 00:00:00,2000-11-29 00:00:00,S
FRC,2019-01-02 00:00:00,2023-03-20 00:00:00,S
FRT,2016-02-01 00:00:00,2023-12-31 00:00:00,S
FRX,2000-11-22 00:00:00,2014-06-24 00:00:00,S
FSH,2004-08-03 00:00:00,2006-11-07 00:00:00,S
FSL,2004-12-03 00:00:00,2006-12-01 00:00:00,S
FSLR,2009-10-16 00:00:00,2023-12-31 00:00:00,S
FTI,2009-06-05 00:00:00,2021-01-21 00:00:00,S
